filename,label,program,sha256,runatload,comment
/System/Library/LaunchDaemons/bootps.plist,com.apple.bootpd,"['/usr/libexec/bootpd']",baaed55290ef711949e9d8aa92facec740036f93e6ff8530a4cef2a82800ea9e,False,"DHCP/BOOTP/NetBoot server"
/System/Library/LaunchDaemons/com.apple.afpfs_afpLoad.plist,com.apple.afpfs_afpLoad,"['/System/Library/Filesystems/AppleShare/afpLoad']",91982587de5db5df44fa1076a26f3f8867f1d0aa42475c50289e2f3292e5f182,False,""
/System/Library/LaunchDaemons/com.apple.afpfs_checkafp.plist,com.apple.afpfs_checkafp,"['/System/Library/Filesystems/AppleShare/check_afp.app/Contents/MacOS/check_afp']",fd08db9d3ceb19f569ed82570b79e752a5ea108d487b55e5532c9d19d648bfd4,False,""
/System/Library/LaunchDaemons/com.apple.airplaydiagnostics.server.mac.plist,com.apple.airplaydiagnostics.server.mac,"['/AppleInternal/Applications/AirPlayDiagnostics.app/Contents/Resources/AirPlayDiagnosticsServer']",UNKNOWN,False,"Apple Internal Diagnostic Tool"
/System/Library/LaunchDaemons/com.apple.AirPlayXPCHelper.plist,com.apple.AirPlayXPCHelper,"['/usr/libexec/AirPlayXPCHelper']",26090d86c8ab00d756bd32cee7f8a3fcba1bdbee43b88609fbc89f6799b9e440,False,""
/System/Library/LaunchDaemons/com.apple.airport.wps.plist,com.apple.airport.wps,"['/usr/libexec/wps']",9dc8d6ad1fe736db1012a79e026fe51a91d51863d1b3cbad3a3b39dc552d8996,False,""
/System/Library/LaunchDaemons/com.apple.airportd.plist,com.apple.airportd,"['/usr/libexec/airportd']",10947fd41b824565233a3622ff6b0dfe56c3ba893883f05fac2ddbc518020358,False,""
/System/Library/LaunchDaemons/com.apple.akd.plist,com.apple.akd,"['/System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd']",670fb2f9b92fea1a38a454ae6c3b79ee0d08206f0e04d10439b02a7b80e7dae0,False,""
/System/Library/LaunchDaemons/com.apple.alf.agent.plist,com.apple.alf,"['/usr/libexec/ApplicationFirewall/socketfilterfw']",f2b4743bc590ce919c4f48a9b1405d4171730ec198ac71aff06d6d5c9460994e,False,"Apple Application Firewall"
/System/Library/LaunchDaemons/com.apple.AppleFileServer.plist,com.apple.AppleFileServer,"['/usr/sbin/AppleFileServer']",9440083957177535495c2e1565c8c990e547c0b547309d279e80fae00986c9e0,False,"Apple File Server (AFP)"
