filename,label,program,sha256,runatload,comment
/System/Library/LaunchDaemons/bootps.plist,com.apple.bootpd,"['/usr/libexec/bootpd']",1fb58c6e6d793a8aae7c7a3c2ee8105b6a4dacc1e0a0d4b933e13796efe32bad,False,
/System/Library/LaunchDaemons/com.apple.afpfs_afpLoad.plist,com.apple.afpfs_afpLoad,"['/System/Library/Filesystems/AppleShare/afpLoad']",aa7ee53b418c76045eae3602d48a1d50fa18c4dec80c626c66d4a7d0b6f23b13,False,
/System/Library/LaunchDaemons/com.apple.afpfs_checkafp.plist,com.apple.afpfs_checkafp,"['/System/Library/Filesystems/AppleShare/check_afp.app/Contents/MacOS/check_afp']",402b5da2b144083411b530832cc2e7934f0ef21fc4a4d0973941fd1c801e9a9d,False,
/System/Library/LaunchDaemons/com.apple.airplaydiagnostics.server.mac.plist,com.apple.airplaydiagnostics.server.mac,"['/AppleInternal/Applications/AirPlayDiagnostics.app/Contents/Resources/AirPlayDiagnosticsServer']",UNKNOWN,False,
/System/Library/LaunchDaemons/com.apple.AirPlayXPCHelper.plist,com.apple.AirPlayXPCHelper,"['/usr/libexec/AirPlayXPCHelper']",e52378179e2440645f35320f0d300e211d78a24e1b0668725876e1134644d563,False,
/System/Library/LaunchDaemons/com.apple.airport.wps.plist,com.apple.airport.wps,"['/usr/libexec/wps']",eb9a83daa1d26b5706c8c3266a646379d97f4cd19e385c35ecb95982634b3960,False,
/System/Library/LaunchDaemons/com.apple.airportd.plist,com.apple.airportd,"['/usr/libexec/airportd']",720b9e284fa9e7ae75fbc767ee451c0d2a0925220a81c2f2b9a0a4be0f3cec1a,False,
/System/Library/LaunchDaemons/com.apple.akd.plist,com.apple.akd,"['/System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd']",ebe9a30b733eba1ac21dfdcd6aaa171552fcbdf8cec766ab92599e4d28ad01e9,False,
/System/Library/LaunchDaemons/com.apple.alf.agent.plist,com.apple.alf,"['/usr/libexec/ApplicationFirewall/socketfilterfw']",f239a31b93995d1e190e01b14609c62c7cdecd8af658359a0bc4e533c16f5a58,False,
/System/Library/LaunchDaemons/com.apple.AppleFileServer.plist,com.apple.AppleFileServer,"['/usr/sbin/AppleFileServer']",4551009dfe94a2cd3f94db58b1c8c0aca1799d84e8ea777ecb79b03fd83fcfb8,False,
